German,English
mindy,Mindy
hochzeitsgeschenk,wedding gift
behindern,to hinder
romulaner,Romulan
wölfen,wolves (dative)
flüge,flights
zerfetzt,shredded
peyton,Peyton
umgehauen,knocked over
postkarte,postcard
millimeter,millimeter
babysitten,to babysit
lotte,Lotte
ehrenhaft,honorable
einz,one/single
plötzlichen,sudden (dat/acc pl)
weiden,pastures/to graze
asiaten,Asians
feuerkraft,firepower
francois,François
rivera,Rivera
crown,crown (English word)
schreiten,to stride/to step
beachtung,attention
gesten,gestures
fortführen,to continue/to carry on
vorigen,previous (dat/acc pl)
krankenhäusern,hospitals (dative)
schuster,shoemaker
geangelt,fished
mooney,Mooney
airport,airport (English word)
abgeschrieben,written off/copied
gleise,tracks/rails
schwängern,to impregnate
attila,Attila
murtaugh,Murtaugh
verspüren,to feel/to sense
privatjet,private jet
polizeipräsident,police commissioner
ck,CK (abbreviation)
carina,Carina
rind,cattle/beef
leidenschaftliche,passionate (fem/pl)
umzingeln,to surround
zugetan,devoted/attached
heimatwelt,homeworld
bienenstock,beehive
verwechselst,confuse/mix up (you singular)
glühwürmchen,firefly
natalia,Natalia
wunderst,wonder/marvel (you singular)
beast,beast (English word)
flammenwerfer,flamethrower
menschenfleisch,human flesh
larissa,Larissa
kandidiere,run for office/am running
verfassen,to compose/to write
agha,Agha
sadist,sadist
bremst,brakes/slows down
druckerei,printing house
sorglos,carefree
aufzuheitern,to cheer up
notlage,emergency
vorabend,eve/day before
nervöser,more nervous (masc)
dalek,Dalek
bauchnabel,belly button
braven,brave (dat/acc pl)
purcell,Purcell
altman,Altman
professors,professor's (genitive)
abzubrechen,to break off
instagram,Instagram
festnetz,landline
brillen,glasses
zählung,count/census
alimente,alimony/maintenance
scheckbuch,checkbook
wren,wren
abrakadabra,abracadabra
präziser,more precise (masc)
upon,upon (English word)
erreger,pathogen/agent
posaune,trombone
schlaff,slack/flabby
abgetaucht,submerged/gone into hiding
karrieren,careers
erstbesten,first best (dative)
anhatte,had on (clothes)
hitzkopf,hothead
streits,disputes/arguments
arbeiterklasse,working class
geizhals,miser
nordseite,north side
erwischten,caught (pl)
rorys,Rory's (genitive)
gouvernante,governess
malloy,Malloy
handgranate,hand grenade
abzusetzen,to drop off/to deduct
manticore,manticore
magnetische,magnetic (fem/pl)
nummernschilder,license plates
überfiel,attacked/raided
heilsarmee,Salvation Army
spült,rinses/flushes
fragmente,fragments
angegangen,approached/tackled
fantomas,Fantômas
protestiert,protested
hinterließen,left behind (pl)
shaft,shaft (English word)
großzügigen,generous (dat/acc pl)
hervorgerufen,caused/evoked
statur,stature
walkie-talkie,walkie-talkie
lima,Lima
crosby,Crosby
whit,whit
multiple,multiple
runterfallen,to fall down
radioaktiv,radioactive
zunehmen,to gain weight/to increase
beate,Beate
gerichtstermin,court date
saure,sour/acid (fem/pl)
kristin,Kristin
zurückkehrst,return (you singular)
defensive,defensive (English word)
androiden,androids
virginie,Virginie
umbau,reconstruction
widmete,dedicated
metier,profession/trade
lacrosse,lacrosse
dalia,Dalia
naher,nearer (masc)
fortuna,Fortuna
diktieren,to dictate
widerstands,resistance's (genitive)
igel,hedgehog
vorbildlich,exemplary
quincy,Quincy
rawls,Rawls
kampfgeräusche,fighting noises
zertrümmern,to shatter
verwehren,to deny
unterstützte,supported
adelaide,Adelaide
ponys,ponies
stetig,constantly
belegte,occupied/covered
schlussfolgerungen,conclusions
aktiver,more active (masc)
simuliert,simulated
avi,Avi
umgewandelt,converted
everest,Everest
jennys,Jenny's (genitive)
prophezeit,prophesied
schranken,barriers/limits
liiert,affiliated/in a relationship
gabeln,forks
spezial,special
haupttor,main gate
cougar,cougar
einnimmt,takes up/earns
michail,Mikhail
profite,profits
lassie,Lassie
hausmann,househusband
modifiziert,modified
shining,shining (English word)
nakamura,Nakamura
terence,Terence
schmerzes,pain's (genitive)
konkurs,bankruptcy
revolte,revolt
verhängnis,doom/fate
bürgerrechte,civil rights
ringer,wrestler/ringer
überfuhr,ran over
krauts,"krauts (slang, plural)"
supernatural,supernatural (English word)
kontostand,account balance
beharrlich,persistent
spirit,spirit (English word)
bemüh,endeavor (imperative)
überlastung,overload
koppel,coupling/paddock
barrel,barrel (English word)
zanken,to quarrel
minderheiten,minorities
tilgen,to extinguish/to pay off
vorzulesen,to read aloud
zurückzurufen,to call back
wittern,to scent/to suspect
norrell,Norrell
queenie,Queenie
maximus,Maximus
lear,Lear
ikarus,Icarus
turban,turban
calhoun,Calhoun
drogenproblem,drug problem
bäuche,bellies
mehrerer,several (masc gen)
parallele,parallel (fem/pl)
gekühlt,cooled
türklingeln,doorbells
keitel,Keitel
vierhundert,four hundred
schwerelos,weightless
mailer,mailer/Mailer
pauly,Pauly
stocken,to hesitate/to stall
10-jährigen,10-year-old (dat/acc pl)
potsdam,Potsdam
aggressives,aggressive (neut)
kannst,can (you singular)
brando,Brando
voreinander,in front of each other
kannst,can (you singular)
brando,Brando
voreinander,in front of each other
kapitulieren,to surrender
livie,Livie
endlich,finally
hinten,behind/in the back
beim,at the (dat masc/neut)
axe,axe (English word)
gut,good/well
vorhanden,available
